> device: cuda:1
> Loading DataSet from data/EEG_age_data_s16/, given 1776 samples
> Training batches: 205, Validation batches: 52
> Initializing the Training Model: FeedForward
> Model Structure:
FeedForward(
  (linear_n): Linear(in_features=63, out_features=1, bias=True)
  (linear_t): Linear(in_features=15360, out_features=1, bias=True)
)
> Model sent to cuda:1
> Using SmoothL1Loss as the Loss Function.
> Constructing the Optimizer: ADAM

learning_rate = 0.01, epochs = 100, num_workers = 50
eval_freq = 5, batch_size = 5, optimizer = ADAM
folds = 5, valid_fold_id = -1

Start Training!
------------------------------------------------------------------------
Training Round 1: loss = 46.797361, time_cost = 10.6544 sec (0.0104 sec per sample), MAE = 47.2965, RMSE = 72.8586, MAPE = 1.3294
Training Round 2: loss = 40.310377, time_cost = 10.4948 sec (0.0102 sec per sample), MAE = 40.8104, RMSE = 58.0597, MAPE = 1.1276
Training Round 3: loss = 37.300001, time_cost = 10.4830 sec (0.0102 sec per sample), MAE = 37.8000, RMSE = 40.2728, MAPE = 1.0000
Training Round 4: loss = 37.305611, time_cost = 10.9003 sec (0.0106 sec per sample), MAE = 37.8056, RMSE = 40.2771, MAPE = 1.0000
Training Round 5: loss = 37.300732, time_cost = 9.7865 sec (0.0096 sec per sample), MAE = 37.8007, RMSE = 40.2753, MAPE = 1.0000
!!! Validation: loss = 36.907693, MAE = 37.4077, RMSE = 40.1782, MAPE = 1.0000
Training Round 6: loss = 37.302928, time_cost = 11.2726 sec (0.0110 sec per sample), MAE = 37.8029, RMSE = 40.2749, MAPE = 1.0000
Training Round 7: loss = 37.300001, time_cost = 9.7233 sec (0.0095 sec per sample), MAE = 37.8000, RMSE = 40.2731, MAPE = 1.0000
Training Round 8: loss = 37.304391, time_cost = 9.8316 sec (0.0096 sec per sample), MAE = 37.8044, RMSE = 40.2781, MAPE = 1.0000
Training Round 9: loss = 37.296830, time_cost = 10.3955 sec (0.0102 sec per sample), MAE = 37.7968, RMSE = 40.2699, MAPE = 1.0000
Training Round 10: loss = 37.301708, time_cost = 10.4663 sec (0.0102 sec per sample), MAE = 37.8017, RMSE = 40.2742, MAPE = 1.0000
!!! Validation: loss = 36.907693, MAE = 37.4077, RMSE = 40.1782, MAPE = 1.0000
Training Round 11: loss = 37.296342, time_cost = 10.6257 sec (0.0104 sec per sample), MAE = 37.7963, RMSE = 40.2691, MAPE = 1.0000
Training Round 12: loss = 37.299513, time_cost = 10.3202 sec (0.0101 sec per sample), MAE = 37.7995, RMSE = 40.2733, MAPE = 1.0000
Training Round 13: loss = 37.297074, time_cost = 11.6946 sec (0.0114 sec per sample), MAE = 37.7971, RMSE = 40.2702, MAPE = 1.0000
Training Round 14: loss = 37.293415, time_cost = 10.3336 sec (0.0101 sec per sample), MAE = 37.7934, RMSE = 40.2665, MAPE = 1.0000
Training Round 15: loss = 37.295610, time_cost = 10.8169 sec (0.0106 sec per sample), MAE = 37.7956, RMSE = 40.2694, MAPE = 1.0000
!!! Validation: loss = 36.907693, MAE = 37.4077, RMSE = 40.1782, MAPE = 1.0000
Model: model_save/20211222_06_02_41.pth has been saved since it achieves smaller loss.
Training Round 16: loss = 37.298293, time_cost = 9.6710 sec (0.0094 sec per sample), MAE = 37.7983, RMSE = 40.2728, MAPE = 1.0000
Training Round 17: loss = 37.297562, time_cost = 10.1029 sec (0.0099 sec per sample), MAE = 37.7976, RMSE = 40.2741, MAPE = 1.0000
Training Round 18: loss = 37.298293, time_cost = 11.4815 sec (0.0112 sec per sample), MAE = 37.7983, RMSE = 40.2705, MAPE = 1.0000
Training Round 19: loss = 37.305854, time_cost = 10.1223 sec (0.0099 sec per sample), MAE = 37.8059, RMSE = 40.2777, MAPE = 1.0000
Training Round 20: loss = 37.300245, time_cost = 10.4467 sec (0.0102 sec per sample), MAE = 37.8002, RMSE = 40.2733, MAPE = 1.0000
!!! Validation: loss = 36.907693, MAE = 37.4077, RMSE = 40.1782, MAPE = 1.0000
Training Round 21: loss = 37.302196, time_cost = 9.8571 sec (0.0096 sec per sample), MAE = 37.8022, RMSE = 40.2749, MAPE = 1.0000
Training Round 22: loss = 37.296830, time_cost = 10.7701 sec (0.0105 sec per sample), MAE = 37.7968, RMSE = 40.2721, MAPE = 1.0000
Training Round 23: loss = 37.294635, time_cost = 9.9953 sec (0.0098 sec per sample), MAE = 37.7946, RMSE = 40.2687, MAPE = 1.0000
Training Round 24: loss = 77.161177, time_cost = 10.1653 sec (0.0099 sec per sample), MAE = 77.6612, RMSE = 364.0482, MAPE = 2.2590
Training Round 25: loss = 83.583078, time_cost = 11.1762 sec (0.0109 sec per sample), MAE = 84.0831, RMSE = 504.6320, MAPE = 2.5492
!!! Validation: loss = 77.213708, MAE = 77.7137, RMSE = 372.4280, MAPE = 2.6757
Training Round 26: loss = 53.936452, time_cost = 11.4318 sec (0.0112 sec per sample), MAE = 54.4364, RMSE = 314.9657, MAPE = 1.6713
Training Round 27: loss = 37.296830, time_cost = 10.0499 sec (0.0098 sec per sample), MAE = 37.7968, RMSE = 40.2696, MAPE = 1.0000
Training Round 28: loss = 37.295123, time_cost = 10.1414 sec (0.0099 sec per sample), MAE = 37.7951, RMSE = 40.2684, MAPE = 1.0000
Training Round 29: loss = 37.300001, time_cost = 11.0657 sec (0.0108 sec per sample), MAE = 37.8000, RMSE = 40.2719, MAPE = 1.0000
Training Round 30: loss = 37.296098, time_cost = 9.9354 sec (0.0097 sec per sample), MAE = 37.7961, RMSE = 40.2684, MAPE = 1.0000
!!! Validation: loss = 36.907693, MAE = 37.4077, RMSE = 40.1782, MAPE = 1.0000
Training Round 31: loss = 37.299513, time_cost = 10.8410 sec (0.0106 sec per sample), MAE = 37.7995, RMSE = 40.2722, MAPE = 1.0000
Training Round 32: loss = 37.301952, time_cost = 11.5507 sec (0.0113 sec per sample), MAE = 37.8020, RMSE = 40.2736, MAPE = 1.0000
Training Round 33: loss = 37.304635, time_cost = 10.3535 sec (0.0101 sec per sample), MAE = 37.8046, RMSE = 40.2782, MAPE = 1.0000
Training Round 34: loss = 37.300001, time_cost = 10.3160 sec (0.0101 sec per sample), MAE = 37.8000, RMSE = 40.2729, MAPE = 1.0000
Training Round 35: loss = 37.304391, time_cost = 9.3811 sec (0.0092 sec per sample), MAE = 37.8044, RMSE = 40.2767, MAPE = 1.0000
!!! Validation: loss = 36.907693, MAE = 37.4077, RMSE = 40.1782, MAPE = 1.0000
Training Round 36: loss = 37.305367, time_cost = 10.2087 sec (0.0100 sec per sample), MAE = 37.8054, RMSE = 40.2795, MAPE = 1.0000
Training Round 37: loss = 37.306098, time_cost = 9.3438 sec (0.0091 sec per sample), MAE = 37.8061, RMSE = 40.2797, MAPE = 1.0000
Training Round 38: loss = 37.295854, time_cost = 10.4969 sec (0.0103 sec per sample), MAE = 37.7959, RMSE = 40.2689, MAPE = 1.0000
Training Round 39: loss = 37.310488, time_cost = 9.2865 sec (0.0091 sec per sample), MAE = 37.8105, RMSE = 40.2826, MAPE = 1.0000
Training Round 40: loss = 37.289513, time_cost = 10.8683 sec (0.0106 sec per sample), MAE = 37.7895, RMSE = 40.2642, MAPE = 1.0000
!!! Validation: loss = 36.907693, MAE = 37.4077, RMSE = 40.1782, MAPE = 1.0000
Training Round 41: loss = 37.300001, time_cost = 9.8679 sec (0.0096 sec per sample), MAE = 37.8000, RMSE = 40.2719, MAPE = 1.0000
Training Round 42: loss = 37.305366, time_cost = 9.9400 sec (0.0097 sec per sample), MAE = 37.8054, RMSE = 40.2785, MAPE = 1.0000
Training Round 43: loss = 37.296098, time_cost = 11.2058 sec (0.0109 sec per sample), MAE = 37.7961, RMSE = 40.2691, MAPE = 1.0000
Training Round 44: loss = 37.303171, time_cost = 9.6257 sec (0.0094 sec per sample), MAE = 37.8032, RMSE = 40.2769, MAPE = 1.0000
Training Round 45: loss = 37.302440, time_cost = 11.2515 sec (0.0110 sec per sample), MAE = 37.8024, RMSE = 40.2758, MAPE = 1.0000
!!! Validation: loss = 36.907693, MAE = 37.4077, RMSE = 40.1782, MAPE = 1.0000
Training Round 46: loss = 37.301708, time_cost = 10.5359 sec (0.0103 sec per sample), MAE = 37.8017, RMSE = 40.2741, MAPE = 1.0000
Training Round 47: loss = 37.301464, time_cost = 10.5304 sec (0.0103 sec per sample), MAE = 37.8015, RMSE = 40.2737, MAPE = 1.0000
Training Round 48: loss = 37.301220, time_cost = 9.9827 sec (0.0097 sec per sample), MAE = 37.8012, RMSE = 40.2747, MAPE = 1.0000
Training Round 49: loss = 37.304147, time_cost = 10.7461 sec (0.0105 sec per sample), MAE = 37.8041, RMSE = 40.2768, MAPE = 1.0000
Training Round 50: loss = 37.303903, time_cost = 10.6485 sec (0.0104 sec per sample), MAE = 37.8039, RMSE = 40.2765, MAPE = 1.0000
